Code du département,Code de la commune,Code sexe,codesPostaux,population,zone,etiquette_politique,communes_voisines,resultats_votes,emploi_actifs,emploi_retraites,socio_pro,pauvrete_ensemble,natalite,mortalite,diplome_bac,diplome_bac5_plus
44,44109,F,"44000,44100,44200,44300",325070.0,metro,Union de la gauche,"44400,44230,44980","{'LUG': 59.67, 'LUD': 27.61, 'LUC': 12.71}",64.1,3.0,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 4.7, 'Cadres': 32.4, 'Profession intermédiaire': 29.1, 'Employé': 23.0, 'Ouvrier': 10.7}",17.0,13.7,7.0,15.2,26.4
44,44114,M,44700,28341.0,metro,Divers gauche,"44119,44800","{'LDVG': 41.74, 'LDVC': 30.73, 'LUC': 27.52}",70.3,4.9,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 5.4, 'Cadres': 19.8, 'Profession intermédiaire': 30.3, 'Employé': 28.9, 'Ouvrier': 15.2}",10.0,10.6,7.8,15.4,21.4
44,44129,F,44160,11249.0,metro,Divers gauche,,{'LDVG': 100.0},71.2,7.2,"{'Agriculteur': 0.7, 'Artisan, commerçant et chef d’entreprise': 5.3, 'Cadres': 10.8, 'Profession intermédiaire': 25.2, 'Employé': 28.4, 'Ouvrier': 29.6}",7.0,10.2,9.3,18.9,4.6
44,44131,F,44210,18382.0,metro,,,"{'LDVD': 69.6, 'LDVC': 30.39}",68.8,11.2,"{'Agriculteur': 1.0, 'Artisan, commerçant et chef d’entreprise': 10.8, 'Cadres': 12.8, 'Profession intermédiaire': 22.9, 'Employé': 36.2, 'Ouvrier': 16.2}",7.0,6.1,13.6,17.9,11.7
44,44132,M,44380,12530.0,metro,Divers droite,"44600,44500","{'LDVD': 9.43, 'LECO': 24.23, 'LDVC': 8.18}",68.2,9.6,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 15.0, 'Cadres': 14.0, 'Profession intermédiaire': 25.0, 'Employé': 33.3, 'Ouvrier': 12.7}",7.0,7.1,13.1,18.4,14.8
44,44143,F,44400,43349.0,metro,,,"{'LDVG': 22.72, 'LUC': 16.65}",70.5,5.3,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 6.1, 'Cadres': 18.0, 'Profession intermédiaire': 30.3, 'Employé': 30.2, 'Ouvrier': 15.4}",13.0,13.3,9.4,16.4,15.3
44,44154,F,44250,14645.0,metro,,,"{'LDVC': 12.27, 'LREM': 31.47, 'LUG': 22.9}",65.2,11.5,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 8.9, 'Cadres': 11.6, 'Profession intermédiaire': 25.4, 'Employé': 34.7, 'Ouvrier': 19.0}",7.0,6.2,14.6,16.9,8.1
44,44162,M,44800,50561.0,metro,Union de la gauche,44700,"{'LUG': 43.18, 'LVEC': 32.72, 'LUC': 24.08}",68.9,4.5,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 2.9, 'Cadres': 29.8, 'Profession intermédiaire': 32.0, 'Employé': 22.4, 'Ouvrier': 12.8}",16.0,14.9,6.8,17.4,15.0
44,44172,M,44980,16227.0,metro,Divers gauche,44470,"{'LDVG': 53.18, 'LDVC': 46.81}",71.0,5.7,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 6.8, 'Cadres': 18.3, 'Profession intermédiaire': 30.3, 'Employé': 17.6, 'Ouvrier': 26.7}",7.0,10.4,6.0,17.8,14.6
44,44184,M,44600,73111.0,metro,Divers gauche,44380,"{'LDVG': 57.15, 'LECO': 42.84}",63.9,6.7,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 4.6, 'Cadres': 17.2, 'Profession intermédiaire': 31.5, 'Employé': 23.2, 'Ouvrier': 23.2}",17.0,10.6,11.2,17.3,10.0
44,44190,M,44230,28373.0,metro,Divers Centre,44400,"{'LDVC': 55.11, 'LDVG': 8.35}",72.1,5.4,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 5.9, 'Cadres': 20.7, 'Profession intermédiaire': 31.6, 'Employé': 31.3, 'Ouvrier': 10.3}",9.0,11.2,8.6,17.0,17.3
44,44204,F,44470,10956.0,metro,Divers gauche,44980,"{'LDVG': 51.71, 'LDVC': 48.28}",73.9,5.4,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 8.9, 'Cadres': 16.1, 'Profession intermédiaire': 23.6, 'Employé': 22.2, 'Ouvrier': 29.0}",7.0,10.8,7.2,17.9,16.3
44,44209,M,44119,10414.0,metro,,,"{'LDVD': 55.52, 'LDIV': 44.47}",77.5,5.8,"{'Agriculteur': 0.6, 'Artisan, commerçant et chef d’entreprise': 8.3, 'Cadres': 19.0, 'Profession intermédiaire': 30.2, 'Employé': 18.5, 'Ouvrier': 23.5}",,12.6,4.9,17.2,19.2
44,44215,M,44120,26048.0,metro,Divers droite,44230,"{'LDVD': 54.63, 'LUG': 25.12, 'LUC': 16.06, 'LDVG': 4.16}",73.3,7.3,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 6.7, 'Cadres': 21.5, 'Profession intermédiaire': 31.2, 'Employé': 24.2, 'Ouvrier': 16.0}",6.0,10.6,7.7,16.9,17.0
45,45004,M,45200,13432.0,metro,Divers droite,45120,"{'LDVD': 76.12, 'LDVG': 23.87}",64.1,7.3,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 4.3, 'Cadres': 10.5, 'Profession intermédiaire': 29.5, 'Employé': 33.8, 'Ouvrier': 21.7}",15.0,10.3,14.8,14.2,6.5
45,45068,M,45120,12958.0,metro,Parti Communiste Francais,45200,"{'LCOM': 54.36, 'LDVC': 25.07, 'LDIV': 20.56}",49.5,6.8,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 4.5, 'Cadres': 15.4, 'Profession intermédiaire': 28.2, 'Employé': 23.7, 'Ouvrier': 27.8}",31.0,13.0,8.6,14.4,3.7
45,45075,F,45380,10492.0,metro,,45140,"{'LDVG': 58.38, 'LDIV': 41.61}",70.0,7.3,"{'Agriculteur': 0.5, 'Artisan, commerçant et chef d’entreprise': 5.0, 'Cadres': 20.1, 'Profession intermédiaire': 28.4, 'Employé': 26.1, 'Ouvrier': 19.9}",10.0,11.5,10.7,18.7,8.4
